asin,title,category,theme_codes,theme_labels,price_yen,reference_high_yen,discount_amount_yen,discount_rate_percent,is_discounted,points_total,points_rate_percent,fetched_at,product_url,review_url,image_url
4003220625,失楽園 上 （岩波文庫） ※入眠剤として,日用品,good,おすすめ代替,1276,,,,False,38,3.0,2026/07/08 12:05,https://amzn.to/4brXahH,,https://m.media-amazon.com/images/I/41wBM+LkCeL._SL500_.jpg
B0001P18LY,Wera ミクロドライバー （+0X60） 自作PC推奨,PCパーツ,better,かなりおすすめ,727,,,,False,21,2.9,2026/07/08 12:05,https://www.amazon.co.jp/dp/B0001P18LY?th=1&linkCode=ll2&tag=chimologaff7-22&linkId=f5ba27f394c19f6ae4da35b348126fcf&ref_=as_li_ss_tl,,https://m.media-amazon.com/images/I/21klbwvfg4S._SL500_.jpg
B000WMHMKC,パナソニック ザタップX (4口 / 2m),ガジェット,better,かなりおすすめ,1883,,,,False,56,3.0,2026/07/06 18:12,https://amzn.to/4wvyQnt,,https://m.media-amazon.com/images/I/311OE8Hn0XS._SL500_.jpg
B0012PD5CW,ドメスト 500ml ※トイレにかけてみて凄い,日用品,better,かなりおすすめ,205,,,,False,6,2.9,2026/07/08 12:05,https://www.amazon.co.jp/dp/B0012PD5CW?&linkCode=ll2&tag=chimologaff7-22&linkId=bd0d617e2e9ed8c65dbdd9422d52183f&ref_=as_li_ss_tl,,https://m.media-amazon.com/images/I/41K9ASqYB2L._SL500_.jpg
B001JJBC3A,ボスコ オリーブオイル （456g） 加熱調理向け,ハイスペ食品,better,かなりおすすめ,1127,,,,False,33,2.9,2026/07/08 12:05,https://www.amazon.co.jp/BOSCO-%E3%83%9C%E3%82%B9%E3%82%B3-%E3%82%AA%E3%83%AA%E3%83%BC%E3%83%96%E3%82%AA%E3%82%A4%E3%83%AB-%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E7%94%A3-456g/dp/B001JJBC3A?pd_rd_w=ANPZW&content-id=amzn1.sym.5b0a3584-68ec-4053-9485-21459bdac8b5&pf_rd_p=5b0a3584-68ec-4053-9485-21459bdac8b5&pf_rd_r=GTY12QCJC8M28W76J48J&pd_rd_wg=pCx5l&pd_rd_r=1ddae35e-e30c-45fd-af92-9cf39f72f58f&pd_rd_i=B001JJBC3A&th=1&linkCode=ll2&tag=chimologaff7-22&linkId=bdb50b8ad2be2e0191eaad0e75671f43&ref_=as_li_ss_tl,,https://m.media-amazon.com/images/I/41m7GmqTzIL._SL500_.jpg
B002TEZ8U2,コラージュフルフル ネクストシャンプー （400 ml） ※頭皮の抗炎症作用,日用品,better,かなりおすすめ,2200,,,,False,66,3.0,2026/07/08 12:05,https://www.amazon.co.jp/dp/B002TEZ8U2?th=1&linkCode=ll2&tag=chimologaff7-22&linkId=ee6fb530ec4a5ca75283d57da174e9b2&ref_=as_li_ss_tl,,https://m.media-amazon.com/images/I/21+aW4uG8zL._SL500_.jpg
B002TOK2CQ,実験用スイッチ (自作PCの動作検証に),PCパーツ,better,かなりおすすめ,667,,,,False,20,3.0,2026/07/08 12:05,https://amzn.to/4veIVUG,,https://m.media-amazon.com/images/I/41lyQp3D-qL._SL500_.jpg
B004I9W13I,カモ井加工紙 マスキングテープ 25mm×50M巻,日用品,better,かなりおすすめ,1000,,,,False,30,3.0,2026/07/08 12:05,https://amzn.to/3RhDTbZ,,https://m.media-amazon.com/images/I/31bewI6+DmL._SL500_.jpg
B005JW2QII,ヴィラブランカ EXオリーブオイル （500g） 仕上げにこれ,ハイスペ食品,better,かなりおすすめ,1606,2109,503,23.9,True,48,3.0,2026/07/08 12:05,https://www.amazon.co.jp/nakato-%E3%83%8A%E3%82%AB%E3%83%88%E3%82%A6-%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%88%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B8%E3%83%B3%E3%82%AA%E3%83%AA%E3%83%BC%E3%83%96%E3%82%AA%E3%82%A4%E3%83%AB-%E3%80%90%E3%82%B3%E3%83%BC%E3%83%AB%E3%83%89%E3%83%97%E3%83%AC%E3%82%B9%E8%A3%BD%E6%B3%95-%E6%9C%89%E6%A9%9FJAS%E8%AA%8D%E8%A8%BC%E3%80%91500%E3%83%9F%E3%83%AA%E3%83%AA%E3%83%83%E3%83%88%E3%83%AB/dp/B005JW2QII?pd_rd_w=Cq8Kq&content-id=amzn1.sym.289d93c5-bb87-47e6-b56c-76ff89f5333d&pf_rd_p=289d93c5-bb87-47e6-b56c-76ff89f5333d&pf_rd_r=A2CRFC671BN0W8G91AKV&pd_rd_wg=mubS8&pd_rd_r=4735e2cf-95a4-4776-9df9-801ff35c2b07&pd_rd_i=B005JW2QII&th=1&linkCode=ll2&tag=chimologaff7-22&linkId=7bc484af949bf830d11c2b449939bbb6&ref_=as_li_ss_tl,,https://m.media-amazon.com/images/I/318d2NZxssL._SL500_.jpg
B006PJ95XS,Snow Peak スクー チタニウム (※カップ麺用),日用品,better,かなりおすすめ,1452,,,,False,43,3.0,2026/07/08 12:05,https://amzn.to/4wt8aUd,,https://m.media-amazon.com/images/I/21DKbQbI63L._SL500_.jpg
